Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Bedourie QGAP, Merri Street:driver licence; boat licence; registration; driver tests; industry licensing; passenger transport,driver licence; boat licence; registration; driver tests; industry licensing; passenger transport,"Bedourie Police Station
", Merri Street,Bedourie,4829,Bedourie Police Station, Merri Street,Bedourie,4829,-24.359453,139.471745,(07) 4746 1220,(07) 4746 1266,,,13:00-17:00,,13:00-17:00,,13:00-17:00,,13:00-17:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  practical driver testing
*  industry licensing services
*  passenger transport",,,,Online transactions may not work at this location due to intermittent access to the internet.,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Bedourie QGAP
Beenleigh Transport and Main Roads Customer Service Centre,"31 Logan River Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver test","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,31 Logan River Road,Beenleigh,4207,,PO Box 407,Beenleigh,4207,-27.714,153.1895,13 23 80,(07) 3804 5020,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing (not including motorcycles)
* pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass (not including trailers and caravans)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service.  ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Beenleigh Transport and Main Roads Customer Service Centre
Biggenden Police Station,3 Edward Street:driver licence,driver licence,,3 Edward Street,Biggenden,4621,,PO Box 51,Biggenden,4621,-25.513877,152.0473,(07) 4127 1211,(07) 4127 1615,,,,8:30,10:30,,,14:00,16:00,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Across from Biggenden Bowls Club,,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Biggenden Police Station
Biloela QGAP,"Biloela Courthouse Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",Biloela Courthouse,Corner of Grevillea and Melton Streets,Biloela,4715,,PO Box 984,Biloela,4715,-24.399733,150.5104516,13 74 68 or 13 23 90 (for practical driving test bookings),,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,b,,/transport/contacts/centres/view?title=Biloela Queensland Government Agent Program Office
Birdsville QGAP,17 MacDonald St:driver licence; boat licence; registration; industry licensing; pre-registration inspections; practical driver tests,driver licence; boat licence; registration; industry licensing; pre-registration inspections; practical driver tests,,17 MacDonald St,Birdsville,4482,Birdsville Police Station, 17 MacDonald St,Birdsville,4482,-25.900329,139.349054,(07) 4656 3310,(07) 4656 3312,,8:00,16:00,8:00,16:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Birdsville QGAP
Blackall QGAP,Shamrock St:driver licence;  registration; practical driver tests; pre-registration vehicle inspections,driver licence;  registration; practical driver tests; pre-registration vehicle inspections,,Shamrock St,Blackall,4472,,PO Box 133,Blackall,4472,-24.42277,145.46084,"(07) 4657 4233 (general enquiries)
13 23 90 (practical driving test bookings)",(07) 4657 4908,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*   registration of vehicles and vessels
*  practical driver testing for all licence classes up to heavy combination and all motorcyle classes
*  pre-registration vehicle inspections all vehicles",,, Corner Shamrock and Violet,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Blackall QGAP
Blackbutt QGAP,69 Hart Street:registration; pre-registration inspections,registration; pre-registration inspections,,69 Hart Street,Blackbutt,4306,,69 Hart St,Blackbutt,4306,-26.884375,152.101707,(07) 4163 0030,(07) 4163 0436,,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,,,,,,"####Services offered at this location#### 
* registration vehicles and vessels
*  pre-registration inspections ","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Alongside Les Muller Park,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Blackbutt QGAP
Blackwater Transport and Main Roads Customer Service Centre,"8 Blain St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,8 Blain Street,Blackwater,4717,,PO Box 469,Blackwater,4717,-23.57549957,148.8899213,13 23 80,(07) 4982 6385,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles by prior arrangement in fine weather only between 9am-1pm and 2.30pm-4pm
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Blackwater Transport and Main Roads Customer Service Centre
Bollon Police Station,24 Mary Street:registration; practical driver tests; product sales; driver licence,registration; practical driver tests; product sales; driver licence,,24 Mary Street,Bollon,4488,,PO Box 30,Bollon,4488,-28.033368,147.480627,(07) 4625 6200,(07) 4625 6002,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location#### 
* registration vehicles and vessels
*  practical driver testing for light vehicles only
*  driver licensing",,, First left into Mary St,,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Bollon Police Station
Boonah QGAP,70 High Street:registration; pre-registration inspections,registration; pre-registration inspections,,70 High Street,Boonah,4310,,70 High Street,Boonah,4310,-27.996975,152.682689,(07) 5463 2165 or 13 23 90 (for practical driving test bookings),(07) 5463 2167,,8:30-12:00,14:00-16:30,8:30-12:00,14:00-16:30,8:30-12:00,14:00-16:30,8:30-12:00,14:00-16:30,8:30-12:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for vehicles up to 4.5t and trailers up to 3.5t
* driver licensing
*  practical driver testing
*  boat licensing","####Service not offered####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,, New registrations are only performed 8:30-16:00.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),17/07/2018,b,,/transport/contacts/centres/view?title=Boonah Customer Centre
Boulia Police Station,Herbert St:driver licence; driver tests; boat licence,driver licence; driver tests; boat licence,,Herbert St,Boulia,4829,,Herbert St,Boulia,4829,-22.91177,139.909687,(07) 4746 3043,(07) 4746 3338,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing
*  boat licensing",,,,,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Boulia Police Station
Boulia QGAP, Herbert Street:registration; pre-registration inspections; driver tests; driver licence; boat licence,registration; pre-registration inspections; driver tests; driver licence; boat licence,Boulia Police Station, Herbert Street,Boulia,4829,Boulia Police Station, Herbert Street,Boulia,4829,-22.91177,139.909687,(07) 4746 3043,(07) 4746 3338,,,,8:00,15:30,8:00,15:30,,,,,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for all vehicles
*  practical driver testing
*  driver licensing
*  boat licensing",,,"Please note: After hours appointments, by prior arrangement, are available if required.",,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Boulia QGAP
Bowen Transport and Main Roads Customer Service Centre,"6 Herbert St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles",,6 Herbert Street,Bowen,4805,,PO Box 889,Bowen,4805,-20.01512433,148.2486499,13 23 80,(07) 4786 2719,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles and trailers no more than 4.5 tonnes gross vehicle mass in fine weather only
*  practical driver testing for all licence classes (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Bowen Transport and Main Roads Customer Service Centre
Brisbane City (Charlotte Street) Transport and Main Roads Customer Service Centre,"33 Charlotte Street Services:  driver license, boat license, registration, industry licensing","driver license, boat license, registration, industry licensing,",Upper Plaza Level,33 Charlotte Street,Brisbane,4000,,PO Box 15619,City East,4002,-27.471905,153.025678,13 23 80,(07) 3305 8350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
","####Services not offered at this location#### 
*  pre-registration inspections
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,Please note: the PO Box address is for departmental mail only.,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Brisbane City (Charlotte Street) Transport and Main Roads Customer Service Centre
Brisbane City (Elizabeth Street) Transport and Main Roads Customer Service Centre,"229 Elizabeth St Services: driver license, boat license, registration, industry licensing,","driver licence, boat licence, registration, industry licensing, pre-registration inspections",,229 Elizabeth Street,Brisbane,4000,,PO Box 15619,City East,4002,-27.468834,153.028218,13 23 80,(07) 3305 8350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services ","####Services not offered at this location#### 
* pre-registration inspections
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,Please note: the PO Box address is for departmental mail only.,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Brisbane City (Elizabeth Street) Transport and Main Roads Customer Service Centre
Bundaberg Transport and Main Roads Customer Service Centre,"14 Production St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,14 Production Street,West Bundaberg,4670,,PO Box 5019,West Bundaberg,4670,-24.890479,152.328863,13 23 80,(07) 4153 7850,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles 
*  practical driver testing for all licence classes (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Bundaberg Transport and Main Roads Customer Service Centre
Bundaberg Transport and Main Roads Motor Vehicle Inspection Centre,"14 Production St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles",,14 Production Street,West Bundaberg,4670,,PO Box 371,Maryborough,4650,-24.890479,152.328863,13 23 90,(07) 4635 5373,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed by Approved Inspection stations",,,,Opening hours by appointment only.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,b,,/transport/contacts/centres/view?title=Bundaberg Transport and Main Roads Motor Vehicle Inspection Centre
